object_alias
 PNV J18193700-1907400
AR CEP
AR LAC
AR UMA
ARCep
AS CEP
AS HER
AS245 SGR
ASAS 0025+11
ASAS 002511
ASAS 002511+1217
ASAS 002512
ASAS 153608
ASAS 1747
ASAS 174736-1621.1
ASAS J071724+1753.6
ASAS J112518-0047.3
ASAS J153608-2256.5
ASAS J2243+0809
ASAS J224349+0809.5
ASAS002511+1217.2
ASAS023322
ASAS1536-0
ASAS17473
ASASSN-13ax
ASASSN-13cf
ASASSN-13ck
ASASSN-13cz
AT   Dra
AT CNC
AT CYG
AT DRA
AT Dra  161560
ATDra
AU CYG
AV CAS
AV CYG
AW CYG
AW GEM
AW LAC
AW Per
AW SGE
AW UMa
AWGem
AWSge
AX AND
AX CAP
AX CEP
AX For
AX PER
AXPer
AY AUR
AY LAC
AY LYR
AY OPH
AY Psc
AYLyr
AZ AND
AZ CAS
AZ DRA
AZ HER
AZ UMA
B LYR
Barnhard01 = 1RXS J053234.9+624755
BB ARI
BB Dor
BC CYG
BC OPH
BC SER
BC UMA
BCCyg
BCUMa
BD +21 1143 Gem
BD +47 2801 Cyg
BD +49 4329
BD +61 0668 Cam
BD +61DEG 0681
BD+14 1247
BD+14 1247 ORI
BD+23 1192
BD+26 256
BD+47 2801
BD+47 2801 CYG
BD+49 4329
BD+61
BD+61 0668
BD+61 0668 CAM
BD+61 0681
BD+61 0688
BD+61 668 CAM
BD+61 Cam
BD+61DEG 0688 CAM
BD+61o0668 Cam
BD+81 0536
BD+81 0536 CEP
BD+84 0536
BD+84 0536 CEP
BE GEM
Bernhard 01
Bernhard01
Bernhard01 Cam
Bernhard01=1RXS J053234.9+624755
Bet Lyr
BET PEG
Bet Per
beta  Leo
beta  Lyr
beta  Peg
beta Leo
BETA LYR
Beta Lyrae
BETA PEG
BETA PER
Betelgeuse
BF AUR
BF CEP
BF CYG
BF ERI
BFCyg
BG ARI
BG CMi
BG CYG
BG Gem
BH DRA
BH LYN
BI CYG
BI DEL
BI HER
BI LYR
BI MON
BI ORI
BICyg
BK Lyn
BK LYR
BK ORI
BK VIR
BKVir
BL  Ori
BL CAM
BL Cam (Hads)
BL LAC
BL ORI
BLLac
BLORI
BM CAS
BM GEM
BN GEM
BNGem
BO LAC
BP GEM
BP Lyn
Bp Tau
BPP RV
BQ GEM
BQ ORI
BQGem
BQOri
"BQOri,"
BR   Eri    0343-07
BR CVN
BR CYG
BR ERI
BR GEM
BS Tri
BT CAS
BT CRB
BT Mon
BU  Tau
BU  Tau  0343+23
BU GEM
BU PER
BU TAU
BUGem
BUPer
BUTau
BV CVN
BV TAU
BW Boo
BW Com
BW TAU
BWTau
BX AND
BX MON
BXMon
BY AUR
BY CAM
BY LYN
BZ AND
BZ CAM
BZ UMA
BZAnd
Cas V452
CatUGC112
CC CAM
CC CNC
CC COM
CC Scl
CCYG
CD AND
CD GEM
CD TAU
CE  Lyn
CE  Tau
CE  Tau    0526+18
CE  Tau    052618
CE  Tau  0526+18
CE LYN
CE TAU
CEP NSV25966
Cep1 (NSV25966)
CF Her
CG CAM
CG CEP
CG CMA
CG Cyg
CG DRA
CH  Cyg
CH CYG
CH HER
CH UMA
CH VIR
CHCyg
chi   Cyg    1946+32
chi  Aqr   2311-08
chi  Cyg
chi  Cyg   194632
chi  Cyg  194632
CHI AQR
CHI CYG
Chi Cygni
CHI OPH
CHI2 HYA
chiCyg
CHUMa
CI AQL
CI CAM
CI CYG
CI GEM
CI UMA
CI VIR
CICyg
CK   Ori
CK  Ori
CK  Ori    0527+07
CK  Ori  052707
CK ORI
CKOri
CM DEL
CM LAC
CN CYG
CN ORI
CNOri
CO Aur
COMP EAST OF FG SGE
COMP2 V1316 CYG
CP DRA
CP LAC
CQ AUR
CQ Boo
CQ TAU
CR BOO
CSS 080130:021110+171624
CSS 080131:163943+122414
CSS 080921:010522+11
CSS 080921:010522+110253
CSS 081102:004500+222708
CSS 081231:071126+440405
CSS 090303:173003+482119
CSS 090419:152857+034911
CSS 090525:084127+210054 
CSS 090530:144011+494734
CSS 090727:161028+090739
CSS 091026:063438+412047
CSS 091029064729+495027
CSS 091029:064729+495027
CSS 100217:104411+211307
CSS 100707:172952+220808
CSS 120224:051549+303036
CSS 121005:212625+201948
CSS 121005:212625+201948 Peg 
CSS 130106:112619+084651
CSS 130418:174033+414756
CSS 1730+4821
CSS 1740+4147
CSS120130:084435+530431
CSS121005:2126+2019
CSS_J150255.0+084630
CSV  171 Cas  014667
CSV 101849
CSV 103049
CSV 171 CAS  0146+67
CSV 5972
CSV 5972 PER
CSV 8232
CSV 8775
CSV 8775     2229+56
CSV 8775  Cep  2229+
CSV101849 AQL
CSV103049 Cyg
CSV171 CAS
CSV71 CAS
CT HYA
CU Cyg
CU Hya
CU Vel
CW CEP
CW MON
CY CYG
CY LYR
CY UMA
Cyg V632
CZ ORI
CZOri
d  Ser
D DRA
DA 55
DD CYG
DDE 20
DDE 21
DDE 22
DDE 22 CAM
DDE22
DE CNC
DE CVN
DEBEHOGNE S OBJ LIB
DEL CEP
delta  Sco
DELTA CEP
DELTA LIB
DELTA ORI
DELTA SCO
Delta Scorpii
DELTA UMA
DELTA2 LYR
Delta2 Lyrae
Denisenko New Var
DF CYG
DF LEO
DG CET
DG CYG
DG PEG
DH AQL
DI LAC
DI UMA
DK CAS
DK LAC
DM CEP
DM LYR
DM PER
DMCep
DN Her
DN ORI
DN Tau
DO  Dra
DO Aql
DO CAS
DO DRA
DO Her
DO VUL
DP LEO
DQ HER
DR Tau
DR UMA
DS AND
DS Her
DV DRA
DV UMA
DW CNC
DW GEM
DW Psc
DW UMa
DX AND
DY CEN
DY CMI
DY Peg
DY PER
DY VUL
DYPer
DZ AND
E COMP FG FGE
E COMP TO FG SGE
E OF BU GEM
E ofBUGem
EE CEP
EE PEG
EF PEG
EG  And
EG  And  0039+40
EG  And  003940
EG AND
EG AQR
EG CEP
EG CNC
EG UMA
EGAnd
EH CYG
EI CEP
EI PSC
EI UMA
EK  Boo
EK Boo
EK CEP
EL Lyr
EL UMA
EM CYG
EMCyg
EO AUR
EO DRA
EOFBUGEM
EP Dra
episilon Peg
Eps Aur
epsilon  Aur
EPSILON AUR
EPSILON PEG
EQ DRA
EQ LYN
EQ LYR
EQ UMa
EQU VV
ER LYR
er OPH
ER ORI
ER UMA
ER VIR
ES AQL
ES DRA
ESB365 CRU
ET VIR
eta  Gem    0608+22
eta  Gem  0608+22
ETA AQL
ETA AQU
ETA CAR
eta Car   1041-59
ETA GEM
EU  Del
EU And
EU AQL
EU DEL
EU Lyn
EU SCT
EU UMA
EUDel
EUVE 0854
EUVE J0854 +39.0
EUVE J0854 +390
EUVE J0854+390 Lyn
EUVE Lyn
EUVEJ0854 LYN
EUVEJ0854+
EUVEJ0854+390
EUVEJ0854+390 LYN
EV AQR
EV Lyn
EW  CMa        0710-
EW  CMa  0710-26b
EW  Lac   2252+48
EW CMA
EW LAC
EX DRA
EX HYA
EY AQL
EY CYG
EY ORI
EZ DRA
EZ LYN
EZ PEG
FASTT 159
FBS 1719
FBS 1719 +83
FBS 1719+834
FBS 1719+834 UMI
FBS 1735
FBS 1735 +82
FBS 1735+825
FBS 1735+825 UMI
FBS1719+834
FBS1719+834 UMI
FBS1735+825
FBS1735+825 UMI
FF CYG
FG  Sge    2007+20b
FG Boo
FG SER
FG SGE
FH LYN
FH SCT
FI CAS
FK HYA
FL 19 LEO
FL CET
FL LYN
FL PSC
FN AND
FN SGR
FO AND
FO AQL
FO AQR
FO ORI
FO PER
FR CMA
FR Lyn
FR PER
FR SCT
FS  Com   130129
FS AND
FS AUR
FS CMA
FS COM
FS SCT
FSV J1722+2723
FSV J1722+2723 Her
FSV1722
FSVJ1722+2
FSVJ1722+2723
FSVJ1722+2723 HER
FSVJ1722+273
FT CAM
FT CMA
FU COM
FU ORI
FV LYN
FW CMA
FW LYN
FX CEP
FY LIB
FY PER
FY VUL
FZ  Cep   2116+55
FZ  Cep  211655
FZ CAS
FZ CEP
FZ LIB
FZ PER
FZCep
g  Her
g (30) HER
g HER
g(30)   Her
g(30)  Her
g(30) Her
GAM Cas
gamma  Cas
gamma  Cas   0050+60
gamma  Cas  005060
GAMMA CAS
GAMMA CAS 005060
gammaCas
GD 552
GD 552 (Cep)
GD 552/NSV 25966 (Ce
Gen TV
GG LEO
GG LUP
GH CMA
GH GEM
GH HYA
gHer
GI  Per
GI  Per   0422+39a
GI PER
GK  Com  115419
GK CEP
GK COM
GK MON
GK PER
GKPer
GM SGR
GN SGE
GO  Peg
GO AUR
GO Cnc
GO COM
GO CYG
GO PEG
GOPeg
GOReg
GP And
GP HER
GQ AUR
GR Ori
GRB 130427A
GRB130427A
GRB990123
GS CET
GSC 02038-00293
GSC 02038:00293
GSC 02764-01639
GSC 04552-01498
GSC 1220-1131 
GSC 1716-1598 
GSC 2038 0293
GSC 2043-1201 
GSC 2566 1398 
GSC 2566-1398
GSC 2861 970
GSC 2861-0970 Per
GSC 2977 0238
GSC 2977 0238 Lyn
GSC 2977-0238 HADS
GSC 2977-238 Lyn (HADS)
GSC 3031-0307 
GSC 3132 1448
GSC 3483-0746
GSC 3752-0986
GSC 3810-1553
GSC 3832 152
GSC 3832-0152
GSC 3832-0152 UMa HADS 
GSC 3863-0740
GSC 3863-0740 Dra HADS
GSC 4417-0394
GSC 4923 693
GSC 848 966
GSC 848 966 Leo (Crow)
GSC2.3 N2
GSC2736106
GSC27361067
GSC2815 790
GSC2815 790 Hads
GSC3755-0845
GSC3899-0210
GSC4552 1498
GU SGR
GV PSC
GW GEM
GW Lib
GW UMa
GX CAS
GY CET
GY CNC
GY LYR
GZ Cet
GZ CNC
GZ COM
HBC 722
HD 199579
HD13654 CAS
HD199579
HD199579 Cyg
HD37605
HEN 1341 OPH
HH CNC
HI AQL
HK Lyr
HL AUR
HL CMA
HM  Sge    1937+16
HM LEO
HM SGE
HN CYG
HO Cet
HO DEL
HP AND
HP Cas
HP CET
HP LYR
HR CAR
HR DEL
HR LYR
HRDel
HS 0128+3547
HS 0218+3229
HS 0417+7445
HS 0455+8315
HS 0728+6738
HS 1813+6122
HS 1857+7127
HS 2133+0513
HS 2214+2845
HS 2219+1824
HS 2331+3905
HS Cam
HS SGE
HS VIR
HS0129+2933
HS0220+0603
HS0229+8016
HS0417
HS0417+7445
HS0455+8315
HS0506+7725
HS0728+6738
HS0805+3822
HS1016+3412
HS1340+1524
HS1340+1524 Boo
HS1349+1542
HS1434+235
HS1434+2355
HS1813+6112
HS1813+6122
HS1857+7127
HS2214+2845
HS2219+1824
HS2325+8205
HS2331+3905
HT AQL
HT AUR
HT CAM
HT CAS
HU AQR
HU TAU
HUDEC S OBJECT HER
HV AUE
HV AUR
HV LIB
HV VIR
HW BOO
HW TAU
HX AQR
HX PEG
HZ HER
I  Per   0242+37
I OMICRON CET
I PER (0242+37)
IK LEO
IK TAU
IL Vul
IM AUR
IN HYA
IO DEL
IP PEG
IP PER
IPHAS J062746.41+014811.3
IPHAS0340+4921
IPHAS0412
IPHAS0502
IPHAS0536
IPHAS0641+0626
IQ Eri
IQ HER
IQ PER
IQ UMA
IQHer
IR Cep
IR COM
IR GEM
IR LYR
IRAS 18535--0416
IRAS 18535-0416
IRAS21443
IRGem
IS  Gem    064332
IS GEM
ISGem
ISV0115+63 CAS
IU AUR
IU Per
IW AND
IX  Vel     0812-48
IX DRA
IX LYR
IX VEL
IY AUR
IY UMA
IZ PER
J0532+62
J0629+205 GEM
J0712 +296
J0712+296
J0712+296 GEM
J1910.2-0546 
J221519-0032
K (IN V841 OPH SEQ)
K(in V841 Oph seq)
K(V841 Oph)
KAPPA OPH
KK CNC
KK PER
KL DRA
KL LYR
KM LAC
KN GEM
KP Cas
KR AUR
KS UMA
KT Eri
KT MON
KT PER
KU CAS
KU CYG
KV AND
KV DRA
KV UMA
KW AND
KX AND
KX AQL
KX ORI
KY AND
KY Aql
KY ERI
KZ CYG
KZ GEM
L2  Pup   0710-44
L2 PUP (0710-44)
LAM TAU
LAMBDA TAU
LAN 17
LANNING 17
Lanning 17 (Sct)
Lanning 17 Sct
Lanning 420
Lanning-17
Lanning-17 SCT
LD 22 CYG
LD 317
LD 345
LD317
LD317 AND
Leo5
LIB DEL
LL AND
LL LYR
LL VIR
LN UMa
LPH 034
LPH 115
LPH034
LPH115
LS AND
LS CAM
LS PEG
LSAnd
LT DRA
LT ERI
LU CAM
LU GEM
LV Cyg
LX AND
LX CYG
LX PER
LX SER
LY AUR
LY DEL
LY Peg
Mark 421
Mark 421 UMa
Mark 509 Aqr
Mark421
Markarian  421
MARKARIAN 421
Markarian 421 (UMa)
MARKARIAN 421 UMA
Markarian 421UMa
MARKARIAN 501
Markarian 501 HER
MARKARIAN 509
Markarian 509 Aqr
Markarian421
Markarian421 Uma
MASTER 0248+5012
MASTER 0613+3957
MASTER 072948.66+593824.4
MASTER 0734+2713
MASTER 1623+7826
MASTER OT J004527.52+503213.8
MASTER OT J005740.99+443101.5
MASTER OT J024847.86+501239.7
MASTER OT J030128.77+401104.9
MASTER OT J040552.59+274716.7
MASTER OT J061335.30+395714.7
MASTER OT J062323.48+730744.0
MASTER OT J073418.66+271310.5
MASTER OT J162323.48+782603.3
MASTER OT J174902.10+191331.2
MASTER OT J203749.39+552210.3
MASTER OT J211258.65+242145.4
MASTER OT J232022.36+444330.8
MIKUZ CYG
MikuzCyg
MIRA
Mira Cet
MIS V0380
MIS V0814
MIS V1147
Mis V1147 CEP
Mis V1443
Mis V1443 Ori
MISV0380 SGR
MisV0814
MisV1147
MISV1147 CEP
MisV1443
MisV1443 ORI
MK 421 UMA
MK 501
MKN421 UMa
MM HYA
MN DRA
MN LAC
MR SER
MR UMA
MRK 421
MRK 509
MS Ser
MSTR J2037+5522 Cyg
mu  Cep
mu  Cep     2140+58
mu  Cep  2140+58
MU Cam
MU CEP
Mu Cephei
MU CRB
MU HER
muCep
MV DEL
MV LYR
MV SGR
MX Per
MZ CEP
N Aql 2012
N Cep 2013
N Del 2013
N Oph 2012
N Sco 2012
N SCT 03
N Sgr 2012 No. 3
N Sgr 2012 No. 5
N VUL 07
NA2
NEW CV AUR
NEW PSC
NEW VAR PSC
NGC 1275 Per
NGC 4151
NGC 4151 CVN
NGC 6814
NGC 7469
NGC1275
NGC1275 Per
NGC4151
NGC4151 CVn
NGC7469
NGC7469 PEG
NN CAM
NN CEP
NN DEL
NO AUR
NOVA 1997 SCO
NOVA 1998 MUS
NOVA 1998 OPH
NOVA 2003 SCT
"Nova Aquilae 1999, N"
NOVA CEPHEI 2013
NOVA CYG 2001
Nova Del 2013
Nova Oph 2012
Nova Sco 2012
NOVA SCT 2003
Nova Vul 2007
Nova2013Del
NP HER
NQ GEM
NQ VUL
NQGem
NS PER
NSCT03
NSV  14213
NSV 00021
NSV 00021 Cas
NSV 00134
NSV 00134 AND
NSV 00389
NSV 00389 AND
NSV 00436
NSV 00436 Cas
NSV 00623
NSV 00623 Per
NSV 00650
NSV 00650 Cas
NSV 00895
NSV 00895 Per
NSV 0134
NSV 0134 AND
NSV 0389
NSV 0389 AND
NSV 06696
NSV 06696 BOO
NSV 10836
NSV 11092
NSV 11092 LYR
NSV 11154
NSV 11453
NSV 11453 Lyr
NSV 11565
NSV 11981
NSV 11981 CYG
NSV 12088
NSV 12088 Aql
NSV 12218
NSV 12247
NSV 12439
NSV 12439 Cyg
NSV 12556
NSV 12634
NSV 1280
NSV 1280 Tau
NSV 13242
NSV 13242 Del
NSV 13262
NSV 13262 CYG
NSV 134
NSV 13784
NSV 13784 Cyg
NSV 13806
NSV 13857
NSV 13857 Cyg
NSV 14213
NSV 14213 Lac
NSV 14333
NSV 14333 CEP
NSV 1436
NSV 14625
NSV 14652
NSV 14680
NSV 14680 Cep
NSV 14687
NSV 15044
NSV 15133
NSV 15133 (=TAV 0033
NSV 15133 CAS
NSV 15404
NSV 15486
NSV 15553
NSV 15553 AND
NSV 15707
NSV 15857
NSV 15889
NSV 15899
NSV 165
NSV 165 Cas
NSV 1665
NSV 16777
NSV 16812
NSV 16874
NSV 16908
NSV 17243
NSV 17407
NSV 17460
NSV 17493
NSV 18241
NSV 1853
NSV 2026
NSV 21
NSV 2249
NSV 2249 Tau
NSV 2249S
NSV 24346
NSV 24505
NSV 24584
NSV 24587
NSV 24587 SCT
NSV 24663
NSV 24674
NSV 24674 AQL
NSV 24739
NSV 24837
NSV 24897
NSV 24987
NSV 25115
NSV 25121
NSV 25186
NSV 25361
NSV 2537
NSV 2537 Aur
NSV 2557
NSV 25747
NSV 25835
NSV 25966
NSV 25966 (=GD552)
NSV 25966 (Cep)
NSV 25966 Cep
NSV 26077
NSV 2859
NSV 2859 Gem
NSV 2872
NSV 2917
NSV 3369
NSV 3562
NSV 3597
Nsv 3597 LYN
NSV 3797
NSV 3808
NSV 389
NSV 389 AND
NSV 4031
NSV 4147
NSV 422
NSV 436
NSV 438
NSV 438 Cas
NSV 4441
NSV 4838
NSV 5086
NSV 5543
NSV 5543 CVN
NSV 597
NSV 5976
NSV 5976 CVn
NSV 6160
NSV 623
NSV 650
NSV 6669
NSV 6696
NSV 6696 B00
NSV 6696 BOO
NSV 7370
NSV 7370 CRB
NSV 7373
NSV 7373 CRB
NSV 7374
NSV 7378
NSV 7378 CRB
NSV 7394
NSV 7394 CRB
NSV 751
NSV 783
NSV 786
NSV 7883
NSV 8001
NSV 895
NSV 895 PER
NSV 907
NSV 907 ARI
NSV00165 Cas
NSV00438 Cas
NSV00895
NSV11453
NSV11453 Lyr
NSV12088
NSV12088 Aql
NSV12256
NSV12439 Cyg
NSV12634
NSV12634 Cyg
NSV1280 Tau
NSV13242 Del
NSV13262
NSV13262 Cyg
NSV13784 Cyg
NSV13806 Cyg
NSV13857 Cyg
NSV14213 Lac
NSV1436
NSV1436 PER
NSV14625
NSV14625 And
NSV14652
NSV14680 Cep
NSV14687Cep
NSV15133
NSV15133 Cas (TAV003
NSV15404 And
NSV15486
NSV15889 Cam
NSV15899 Cam
NSV165
NSV165 Cas
NSV1665
NSV1665 Per
NSV16777 Gem
NSV17493 Mon
NSV18241
NSV18241 LEO
NSV2026
NSV2026 TAU
NSV21 Cas
NSV2249
NSV2249 Tau
NSV24346
NSV24346 Her
NSV24584
NSV24587
NSV24587 Sct
NSV24587 Sct  (Nova
NSV24587 Sct  (Nova?
NSV24663
NSV24667
NSV24685
NSV24739 Cyg
NSV24785
NSV24897
NSV25115
NSV25121
NSV25186 Cep 
NSV25361
NSV25361 Cyg
NSV2537 Aur
NSV25747
NSV25747 CYG
NSV25835
NSV25842
NSV25843
NSV25966
NSV25966 Cep
NSV25966 Cep (GD552)
NSV2731
NSV2859 Gem
NSV3562
NSV3597 LYN
NSV389
NSV4031
NSV436 Cas
NSV438
NSV438 Cas
NSV438 CascompI
NSV4441 Cnc
NSV4838
NSV4838 UMA
NSV597 LYN
NSV5976 CVn
NSV623
NSV623 Per
NSV650
NSV650 Cas
NSV7378
NSV779 Per
NSV8001
NSV8001 Oph
NSV855 And(HADS)
NSV895
NSV895 Per
NSVS 981921
NSVS J2146219+434351
NSVS2215456
NSVS981921
NU ORI
NY CEP
NY HER
NY SER
NZ BOO
O CET
o Ceti
O GEM
OD+160
OD+160 ARI
OI+158
OI+158 Gem
oj 055718+683226
OJ 287
OJ 287 CNC
OJ+287
OJ+287 Cnc
OJ287
OJ287 Cnc
OMEGA CMA
omi   Cet
omi  Cet  0214-03
omi  Cet (Mira)    0
Omi Cet
omi Ceti  0214-03
omicron  Cet
OMICRON CAS
OMICRON CET
Omicron Cet (=Mira)
Omicron Ceti
omicron Her
omicronCet
OO AQL
OP HER
OP LYR
OPH V2204
OPHer
OQ 530 BOO
OR And
ORI DEL
OS AND
OS Cyg
OT 023839+355648
OT 081
OT J0120+3255
OT J0329+1250
OT J0330+2014
OT J0711+4404
OT J071126.0+440405
OT J0807+1138
OT J084435.4+530431
OT J144011.0+494734
OT J1749+1913
OT J213701.8+071446
OT J213806.6+261957
OT J232022.34+444331
OTJ0120+3255 PSC
OTJ0211+1716
OTJ0211+1716 ARI
OTJ0330+2014 TAU
OTJ0515+3030
OTJ0711+4404
OTJ1440+4947 BOO
OTJ1639+1224
OT_J071126.0+440405
OU VIR
OV CEP
OV DRA
OW GEM
OX Cyg
OX Gem
OY Cyg
OZ Dra
P  Cyg
P  Cyg    2014+37a
P  Cyg   2014+37a
P  Cyg  201437a
P CYG
P CYG 201437A
P1749+096
p2 V1316 COM
P2 V1316 CYG COM
PCYg
PG1104+022
PG1104+22
PG2337+300
PGC 0009067
PKS 0420-
PKS 0420--14
PKS 1510-
PKS 1749+
PKS 2230+
PKS 2230+11
PKS0422+004
PKS0422+004 Tau
pks1751+096
PNV J17260708-2551454
PNV J17522579-2126215
PNV J18202726-2744263
PNV J18422792+4837425
PNV J18523496-0018423
PNV J19023335+0315190
PNV J19150199+0719471
PNV J20233073+2046041
PNV J21095047+1348396
PNV J21581852+2419246
PNV J23272715+0855391 
PNVJ1852-0018
PNVJ2109+1348
PP Cyg
PQ AND
PQ AQL
PQ CEP
PQ Gem
PQAnd
PR HER
PR PER
PRPer
PS HYA
PS LAC
PSI 1 AUR
PSI AUR
Psi1 Aur
psi1Aur
psiAur
PSN J09554214
PSN J09554214+6940260
PSN J1008
PSN J10081059+5150570
PSN N509
PSN N6103
PSN N6145
PSN N927
PT HYA
PT PER
PU GEM
PU PER
PU UMa
PU VAL
PU VUL
PUVul
PV Cep
PV Peg
PV PER
PV Vir
PV420 AND COM
PV420AND COM
PW VUL
PX And
PY PER
PZ GEM
Q CYG
Q1992 076
Q1992-001 And
Q1992-076
Q1992/001
Q1992/001 AND
Q1992/076
Q1993/086
Q1994 044
Q1994-044
Q1994/016
Q1994/044
Q1994/044 Tau
Q1995 047
Q1995-047
Q1995/047
Q1995/047 Gem
Q1996/077
QQ VUL
QR AND
QS UMa
QU VUL
QV VUL
QW SER
QW SGE
QWSge
QY PER
QZ AQL
QZ Aur
QZ Lib
QZ SER
QZ VIR
R  And
R  And    0018+38
R  Aql
R  Aqr     2338-15
R  Aqr  2338-15
R  Boo
R  Boo   1432+27
R  Cas
R  Cas     2353+50
R  Cas   2353+50
R  Cnc    0811+12
R  CrB
R  CrB     1544+28a
R  CrB   1544+28a
R  CrB   154428a
R  Cyg
R  Dra   163266
R  Dra  163266
R  Gem
R  Gem    0701+22a
R  Gem  0701+22a
R  Hor    0250-50
R  Leo
R  Leo    0942+11
R  Leo  094211
R  Lep
R  LMi  093034
R  LMi  0939+34
R  Lyr
R  Lyr    1852+43
R  Lyr 1852+43
R  Oph
R  Oph    1702-15
R  Sct
R  Sct    1842-05
R  Sct   1842-05
R  Sct  1842-05
R  Ser
R  Tri
R  Tri   02131+33a
R  Tri  0231+33a
R  Tri  023133a
R  UMa
R  UMa  103769
R  UMi
R  UMi   163172
R AND
R AND 001838
R AQL
R Aql  1901+08
R AQR
R ARA
R ARI
R AUR
R BOO
R Boo  1432+27
R CAM
R CAS
R CAS 235350
R CET
R CMA
R CMI
R CNC
R COM
R COR BOR
R CRB
R CRT
R CrV
R CVN
R CYG
R DEL
R DRA
R Equ
R ERI
R GEM
R HER
R HOR
R HYA
R HYD
R LAC
R LEO
R Leonis
R LEP
R LMI
R LYN
R LYR
R OPH
R PEG
R PER
R PSA
R PUP
R SCL
R Sco
R SCT
R Sct    1842-05
R SCT 184205
R SCU
R SER
R Ser  1546+15
R Serpentis
R SGE
R SGR
R Tau
R TRI
R Trianguli
R UMA
R UMI
R VIR
R VUL
RAnd
RCr B
RCrB
RCyg
REJ1255+266 COM
RGem
rho   Cas
rho  Cas
rho  Cas  2349+56
rho  Cas  234956
rho  Per
RHO CAS
RHO PER
rhoCas
RLeo
ROTSE3 J221519.8-003257.2
ROTSE3J100
RR  CrB
RR  CrB 153738
RR AND
RR Aql
RR ARI
RR CNC
RR CRB
RR CRT
RR CYG
RR EQU
RR LIB
RR LYR
RR MON
RR ORI
RR SCO
RR SGR
RR TAU
RR Tau Neb
RR Tau Nebula
RR TEL
RR UMa
RR UMI
RRCrB
RS   Cyg    2009+38
RS  Cnc   090431
RS  Cyg
RS  Cyg   2009+38a
RS AND
RS AQR
RS CAN
RS Cancri
RS CET
RS CHA
RS CNC
RS CNS
RS CRB
RS CVN
RS CYG
RS Cyg  200938a
RS HER
RS LEO
RS LYR
RS MON
RS OPH
RS Ori
RS PER
RS TEL
RS UMA
RS VIR
RSAnd
RSCan
RSCnc
RSct
RSOph
RSPer
RT  Cyg
RT  Cyg     1940+48
RT  Hya    0824-05
RT And
RT AQL
RT ARI
RT AUR
